Date,FXE,EWJ,GLD,QQQ,SPY,SHV,DBA,USO,XBI,ILF,GAF,EPP,FEZ
2015-04-23,106.43,53.040001000000004,114.660004,109.059998,211.16000400000001,110.279999,22.280001000000002,19.76,78.90666999999999,32.419998,71.739998,47.220001,39.360001000000004
2015-04-24,106.809998,53.240002000000004,113.050003,110.540001,211.649994,110.269997,22.35,19.67,77.953331,32.959998999999996,71.660004,48.049999,39.540001000000004
2015-04-27,107.040001,53.119999,115.33000200000001,110.260002,210.770004,110.269997,22.219998999999998,19.52,73.64666700000001,32.830002,72.16999799999999,48.220001,40.080002
2015-04-28,107.889999,53.279999,116.33000200000001,110.040001,211.440002,110.279999,22.24,19.6,72.38666500000001,32.84,73.699997,48.73,40.07
2015-04-29,109.25,52.799999,115.510002,109.349998,210.57000699999998,110.269997,22.379998999999998,20.120001000000002,71.91999799999999,32.540001000000004,73.400002,47.98,39.52
2015-04-30,110.370003,51.439999,113.470001,107.629997,208.46000700000002,110.279999,22.290001,20.51,68.77666500000001,32.200001,72.800003,47.32,39.619999
2015-05-01,110.150002,52.080002,113.08000200000001,109.050003,210.72000099999997,110.269997,22.02,20.4,71.056664,32.290001000000004,71.809998,47.599998,39.990002000000004
2015-05-04,109.620003,52.32,114.099998,109.230003,211.32000699999998,110.279999,21.969998999999998,20.280001000000002,72.01666999999999,32.279999,71.160004,47.700001,39.82
2015-05-05,110.029999,51.32,114.41999799999999,107.449997,208.899994,110.290001,22.110001,20.76,69.976669,32.57,71.559998,47.41,39.060001
2015-05-06,111.550003,51.279999,114.360001,106.709999,208.03999299999998,110.279999,22.190001000000002,20.82,71.626663,32.23,70.550003,46.740002000000004,39.59
2015-05-07,110.75,51.360001000000004,113.41999799999999,107.349998,208.869995,110.290001,22.110001,20.200001,72.466667,32.389998999999996,70.339996,46.349998,39.400002
2015-05-08,110.139999,52.560001,113.970001,108.690002,211.61999500000002,110.290001,22.360001,20.42,74.61333499999999,32.91,71.08000200000001,46.84,40.330002
2015-05-11,109.610001,51.720001,113.529999,108.269997,210.61000099999998,110.279999,22.370001000000002,20.379998999999998,75.16333,32.43,70.089996,46.119999,39.82
2015-05-12,110.199997,51.720001,114.5,107.779999,209.979996,110.290001,22.42,20.74,75.323334,32.369999,69.66999799999999,46.759997999999996,39.66
