,FXE,EWJ,GLD,QQQ,SPY,SHV,GAF,DBA,USO,XBI,ILF,EPP,FEZ
2015-10-13,-431.00762300505863,-186.40090063375968,-646.8607324216043,-483.0621042937112,-790.1318809976638,-383.5327695330607,-371.58499547020824,-53.167890012395524,1850.9593334497715,-296.9930620478784,-201.89066365000642,-195.61570260556505,-137.50308338499002
2015-10-14,-439.59270728620965,-178.05933337489836,-614.9075854969138,-430.03384188029287,-750.9821730361394,-367.9429571495944,-358.36300156913336,-68.85785812816853,821.2831696870738,-224.63385252019833,-190.94264019200676,-187.30812027508958,-135.87412944835106
2015-10-15,1128.265372880083,472.4186975751987,1622.7209388102067,1166.2379443013376,2017.4215714174093,964.5929960715745,943.4064107140066,172.66808334598664,-2583.0548090675848,616.8132502578703,498.7341115109617,498.16424991238654,358.91737963421406
2015-10-16,-89.2492334062125,17.983587558270447,23.876936219807988,121.89855293627241,175.1951537279645,-9.245084604131282,8.629623864314976,-19.602750529631113,-977.4722626531677,60.50608483727024,-14.543253933446964,24.232133925284288,10.898537149105142
2015-10-19,-184.46590431474212,-52.08064558124916,-186.53558267665696,-80.21425310231342,-192.45810970105939,-120.15668943046883,-114.35961925157352,-41.86695342479533,-778.2728734652925,-6.507158827638298,-62.393771497417895,-53.88117226429501,-44.25859369598068
2015-10-20,394.10283850484115,99.95172247181308,373.1130189674314,135.42176110105459,333.9300385747884,247.2168773542183,228.52201532537566,84.14299782234315,1508.8085228239286,18.18484398136536,132.87505293281427,101.2958646057584,84.4768283730746
2015-10-21,-837.7581076637509,-302.2139039828625,-1071.3809389953947,-678.1323147902015,-1204.1656887501563,-657.4319099116994,-627.4609521171758,-133.36571089159327,884.6525237607086,-362.3402018000626,-348.50766819422387,-314.05399348800546,-232.01219992065046
2015-10-22,791.5984549514809,390.54479796964915,1285.5684302207756,1025.6604975949967,1796.6819508518486,736.9333911171216,747.4808662040372,132.45323357998635,-2002.7843938562987,477.334241538626,363.87077706137717,419.643223678546,299.3073923455421
2015-10-23,424.01487830359827,229.79663546861084,756.5751008304389,644.5899795373433,1069.5663413894556,428.037511578283,433.7841905021379,55.83559107335007,-2295.3473000356516,349.0527939440239,213.40896186912582,246.86641735382256,170.89550560892945
2015-10-26,-559.3309882384322,-180.69933398105837,-649.334636816407,-360.24015874640605,-688.8624134474807,-407.4891316788747,-385.5183837695512,-100.45200769823268,-414.2901300031404,-162.94371195156725,-216.6520742478939,-186.58494997070054,-142.81744500788292
2015-10-27,-899.3869055011319,-283.1350953017511,-1028.6955344091687,-557.3910928349123,-1055.0542792837425,-649.9302345186509,-609.802956856663,-156.61000592099435,-478.1582912583568,-270.6760389259637,-349.11661512432426,-290.77923383979174,-222.58299257510507
2015-10-28,1591.0676359319668,574.6461349308092,2031.4654944644021,1283.454654113427,2299.0547078026157,1245.5990411442895,1191.5943848625234,259.1209433372333,-1336.3271614489556,665.3778216706964,657.9644169020258,597.9677754477398,442.97622324969007
2015-10-29,-394.4683402569078,-119.86071324858199,-448.64752788060133,-240.56607170432204,-422.1887641387774,-286.725138491545,-262.952563188287,-58.48037601783396,345.55627431393657,-153.7760490708987,-158.81525576786404,-121.24242811584215,-91.20506849222784
2015-10-30,-391.4900186826839,-156.537471025488,-532.5958726363941,-362.1819855599651,-671.0094397472827,-318.256957273533,-314.07437934923433,-72.29500673462871,35.4696765343336,-152.1084772581537,-161.4355399348966,-165.8034024902854,-122.93684391714228
2015-11-02,1061.8056635489145,419.44390612177364,1458.5576275232597,1001.0530947865234,1745.5929130268685,877.7417337462394,850.1369041928394,164.53002978170994,-1934.5122400298874,533.5526523316352,458.5184615671612,439.82614026258125,319.71628888007797
2015-11-03,449.08272849598984,156.18278087586867,557.0518898659549,339.27392661185144,612.2384341011453,344.43876659245603,327.33024622013346,73.55256716103288,-262.8063627622223,176.8744808643051,183.17158794459874,161.83682871909252,120.69100648198076
2015-11-04,-165.83201947999095,-78.15347552145903,-255.10103486845307,-195.0224780955205,-360.6271158541777,-146.88651618558595,-150.1986373781521,-32.8682444025637,54.5529368787544,-73.45738894899536,-71.19611056131193,-84.28776708766688,-61.587460233245224
2015-11-05,132.98689295667162,29.289819115507946,113.5258658443163,28.291097482524496,86.10547481605906,77.91791419415412,70.40099094094207,29.06630756672086,615.8014552897314,-3.4288133241343575,42.70004838984674,29.10346860619268,25.417518067805993
2015-11-06,470.9408583684412,134.16912683004946,504.59549598832774,243.79036072804678,460.019411495417,326.7158332483085,299.1197422899503,78.16443091483133,226.34100545948775,135.78150937568705,180.29822665418308,135.39906055399214,104.86944871161877
2015-11-09,-670.1077168106785,-284.7374822648702,-972.1215926442792,-704.5082533677617,-1228.0885569209936,-575.6545830661917,-565.9064433778643,-105.62686687783047,1409.2383952859043,-360.16612273588515,-295.5617095956074,-301.08722157086675,-217.2258787987885
2015-11-10,207.74251314296737,77.67641036397266,269.28823083440403,173.38331108449086,321.1723863047214,163.4536645716011,158.87410116895163,37.23950545128865,-7.04034907565107,77.02684860452992,84.4582351867619,81.57544119055773,60.87578325304224
2015-11-11,-525.3341419427284,-188.28434722126875,-667.5505343168116,-419.24718951652795,-749.0928055077705,-410.09922598503823,-391.4252940190859,-84.80203923044276,465.43928722428797,-220.54319864587765,-217.2430051851629,-195.65463805551406,-144.94527851325566
2015-11-12,-1239.081553133902,-494.2228264591197,-1706.423264416817,-1174.6186814278162,-2079.1967187451232,-1023.6075494008743,-997.3583007893615,-201.43589382627272,1755.4046428888473,-591.3852577851897,-530.0898185422993,-519.9530510807134,-379.5903909053704
2015-11-13,-390.3197821273871,-223.19023786373288,-724.4933960330223,-632.9559865777567,-1061.2490028045718,-405.178812961606,-415.9863245967263,-54.72795089280859,2083.825398288087,-325.61654966655686,-198.4158251629436,-241.21637035234838,-167.02631327087028
2015-11-16,827.8121737253255,385.9027032954841,1283.6294524286177,987.0836414214577,1740.9619038766875,744.2312821330813,748.0679823782408,139.61140074215052,-1693.836938259547,460.1116798870578,371.3320493931478,412.79973249509317,296.6092758820756
2015-11-17,-357.2501796020125,-111.17492587947524,-400.31393812605864,-209.9009498449194,-418.6022732131233,-253.0919651238995,-239.26847741497383,-67.76803417891921,-546.4368844813363,-82.82381282155606,-134.21337460663833,-114.69078657082585,-89.19994032735094
2015-11-18,924.519324241004,423.5389195946609,1424.7659749658214,1089.5687137217346,1881.3347924091013,830.7608857215511,826.7470048813659,143.41398296991903,-2540.12418867812,553.5123560683431,420.8853261875237,450.81262882570223,321.79567152443803
2015-11-19,-223.79835379953013,-73.33354126543354,-265.0298706571449,-151.3946592106081,-278.2011435677092,-166.05139343966735,-156.31345384127007,-37.36552656846864,21.08565319674317,-78.32994671423336,-89.09504602699742,-75.50600815549478,-57.02362826019552
2015-11-20,229.6698218057561,98.08379220502124,342.10090841077664,253.73476542745382,412.238415668642,203.47810963650434,196.31254379102305,27.51863949697646,-1017.1894564857267,159.6683203432168,107.6987882319397,102.69058176022861,72.09131428062528
2015-11-23,88.9562916641469,14.559193470309706,74.18330153267578,16.018407353716423,8.51775874946027,54.94637593019816,42.10038668005307,6.1868830689574255,-317.71273682610445,44.11968134042524,36.17195895062265,11.969447255519757,9.096677486780663
2015-11-24,472.4333748464791,148.03862660482162,543.0495921136325,296.41039654396184,542.9756679545897,343.94879060967844,320.26319053664326,77.10664470394201,-51.59205900428596,162.19366500233485,186.82042201902055,151.30190264964267,114.7880152912587
2015-11-25,148.8592134579551,40.127468590888,165.28804207895567,84.76957077062036,112.99831194806954,109.4154573360201,93.69053395969186,11.178732381645668,-715.4193285780125,94.67013931441016,65.82117002095742,38.46579423782171,27.20275516430519
2015-11-27,37.24426738101545,19.0850270192502,67.92389541544432,58.52233692171932,80.3687092535557,39.58236771610513,37.40687502697363,-0.10565904198148873,-489.2886537600847,49.43459779258503,21.920733509587716,19.783522492842344,12.61988035591509
2015-11-30,60.05068234421213,-27.262969020531987,-64.21058025069878,-149.51057976989796,-199.64962138476005,-16.904674517872365,-29.9869399954583,22.171396370028628,1427.5856915052454,-100.68649181914083,-2.300774303495713,-32.82439761302062,-15.786187511585108
2015-12-01,418.11071318796695,220.05329170534552,714.1015427711452,591.1906021278105,1036.5963347424126,403.8574713490831,414.9277106563673,71.67403474539583,-1158.1543069089273,266.27413366480454,196.10351640501926,237.8803819712678,168.86894505770712
2015-12-02,-786.8929368165241,-329.11258016582127,-1116.5019774470186,-792.449569384836,-1426.727120585023,-661.7916680735108,-654.3752802649653,-136.7027949512844,808.3891843247718,-363.1336579691485,-336.0470591798461,-349.02792035789435,-255.1595828076682
2015-12-03,-798.131724274654,-371.858713275435,-1252.6973347580868,-972.3553889199563,-1653.1320005342159,-728.8590493491317,-724.2755049333455,-116.75058138144479,2713.3756142836605,-516.2252407027644,-370.7199715602103,-395.5421460322463,-280.2125282292805
2015-12-04,534.3209416754327,349.09776200326826,1106.1532078277796,1027.554074558192,1724.6645142033892,603.4171965520919,633.8208240819777,76.458506349686,-3405.468870870039,506.37154568005167,286.77113289748826,381.06655353775926,261.5234401112649
2015-12-07,-1046.4796963758984,-366.63675409714324,-1302.3062554344522,-796.6617286058157,-1447.8315586053316,-803.5517647466379,-766.1350311794135,-174.72440157636288,450.40488777671385,-402.7032743588805,-425.4595487773822,-380.66355027470627,-284.28683488637375
2015-12-08,-670.9251235055294,-259.48539689324963,-884.9112549987613,-581.6725014698505,-1102.5010355451666,-532.0635278383198,-524.2553614051131,-129.03820998147793,-381.44910666809886,-226.18902701222441,-269.7067780696164,-274.5711105862798,-205.76903445866657
2015-12-09,-455.53876975786426,-208.2424446722997,-707.4683158346567,-544.2787839718425,-913.9877438016972,-413.72633191969766,-408.1134802118943,-63.09356967485338,1704.3070014276593,-302.967408264887,-212.63439248802717,-220.668653630992,-155.84766765900358
2015-12-10,115.64690318079322,60.06760474292982,200.88621614686255,168.05930814590218,273.3108340534037,114.84593319834858,114.7535675788067,13.559226436240188,-688.6515070344468,98.01542955423805,58.427596380169135,64.09105909830794,44.147236660457416
2015-12-11,-1296.722713564716,-568.7945012040552,-1929.3797530003,-1431.1630671570729,-2485.242959559116,-1134.9755279542171,-1121.701517992643,-203.31393703138616,3056.8504340984828,-728.7241441936818,-579.3579361412444,-603.1997283696601,-433.24735073750344
2015-12-14,-249.5756833571802,-25.026940151877785,-145.94379173484592,41.85823955229799,42.988654526130745,-121.2058681669858,-90.33800388017126,-40.37126787267685,-739.633718854153,-5.485020599832286,-79.11001805203597,-18.037783369327677,-20.98632299657319
2015-12-15,978.3142097861833,387.65301931028984,1332.1464322281163,906.3906655590797,1638.6614301693232,799.0940600935461,781.8807578301369,168.5827000467585,-769.2076891110424,424.03184318636715,410.748740529757,408.7346436072378,300.79762067365914
